player_name,match_date,performance_type,performance_value
Player 001,2025-11-07,batting,21.95
Player 002,2025-11-07,batting,43.75
Player 003,2025-11-07,batting,148.28
Player 004,2025-11-07,batting,185.53
Player 005,2025-11-07,batting,350.0
Player 006,2025-11-07,batting,130.43
Player 007,2025-11-07,batting,89.66
Player 008,2025-11-07,batting,0.89
Player 009,2025-11-07,batting,84.44
Player 010,2025-11-07,batting,192.86
Player 011,2025-11-07,batting,75.0
Player 012,2025-11-07,batting,120.0
Player 013,2025-11-07,batting,91.49
Player 014,2025-11-07,batting,75.63
Player 015,2025-11-07,batting,126.17
Player 016,2025-11-07,batting,114.89
Player 017,2025-11-07,batting,133.33
Player 018,2025-11-07,batting,172.73
Player 019,2025-11-07,batting,55.1
Player 020,2025-11-07,batting,31.91
Player 021,2025-11-07,batting,53.49
Player 022,2025-11-07,batting,14.46
Player 023,2025-11-07,batting,146.38
Player 024,2025-11-07,batting,53.06
Player 025,2025-11-07,batting,111.24
Player 026,2025-11-07,batting,153.7
Player 027,2025-11-07,batting,6.6
Player 028,2025-11-07,batting,14.29
Player 029,2025-11-07,batting,175.34
Player 030,2025-11-07,batting,100.0
Player 031,2025-11-07,batting,91.57
Player 032,2025-11-07,batting,150.0
Player 033,2025-11-07,batting,116.67
Player 034,2025-11-07,batting,73.08
Player 035,2025-11-07,batting,100.0
Player 036,2025-11-07,batting,171.43
Player 037,2025-11-07,batting,157.14
Player 038,2025-11-07,batting,77.78
Player 039,2025-11-07,batting,105.0
Player 040,2025-11-07,batting,188.29
Player 041,2025-11-07,batting,133.33
Player 042,2025-11-07,batting,154.29
Player 043,2025-11-07,batting,86.84
Player 044,2025-11-07,batting,175.27
Player 045,2025-11-07,batting,152.31
Player 046,2025-11-07,batting,171.43
Player 047,2025-11-07,batting,101.22
Player 048,2025-11-07,batting,152.08
Player 049,2025-11-07,batting,184.0
Player 050,2025-11-07,batting,189.61
Player 051,2025-11-07,batting,197.35
Player 052,2025-11-07,batting,12.9
Player 053,2025-11-07,batting,18.18
Player 054,2025-11-07,batting,200.0
Player 055,2025-11-07,batting,23.53
Player 056,2025-11-07,batting,32.39
Player 057,2025-11-07,batting,84.62
Player 058,2025-11-07,batting,151.43
Player 059,2025-11-07,batting,61.96
Player 060,2025-11-07,batting,75.0
Player 061,2025-11-07,batting,24.14
Player 062,2025-11-07,batting,4.55
Player 063,2025-11-07,batting,43.42
Player 064,2025-11-07,batting,12.35
Player 065,2025-11-07,batting,180.0
Player 066,2025-11-07,batting,54.84
Player 067,2025-11-07,batting,27.14
Player 068,2025-11-07,batting,114.86
Player 069,2025-11-07,batting,162.3
Player 070,2025-11-07,batting,130.77
Player 071,2025-11-07,batting,94.34
Player 072,2025-11-07,batting,131.03
Player 073,2025-11-07,batting,75.0
Player 074,2025-11-07,batting,21.62
Player 075,2025-11-07,batting,89.86
Player 076,2025-11-07,batting,91.67
Player 077,2025-11-07,batting,90.0
Player 078,2025-11-07,batting,19.72
Player 079,2025-11-07,batting,167.14
Player 080,2025-11-07,batting,150.42
Player 081,2025-11-07,batting,96.23
Player 082,2025-11-07,batting,180.77
Player 083,2025-11-07,batting,200.0
Player 084,2025-11-07,batting,157.43
Player 085,2025-11-07,batting,191.11
Player 086,2025-11-07,batting,131.94
Player 087,2025-11-07,batting,60.0
Player 088,2025-11-07,batting,146.67
Player 089,2025-11-07,batting,12.2
Player 090,2025-11-07,batting,184.62
Player 091,2025-11-07,batting,187.5
Player 092,2025-11-07,batting,12.5
Player 093,2025-11-07,batting,46.85
Player 094,2025-11-07,batting,114.04
Player 095,2025-11-07,batting,116.67
Player 096,2025-11-07,batting,113.33
Player 097,2025-11-07,batting,41.18
Player 098,2025-11-07,batting,51.61
Player 099,2025-11-07,batting,60.24
Player 100,2025-11-07,batting,320.62
Player 001,2025-11-07,bowling,6.23
Player 002,2025-11-07,bowling,7.35
Player 003,2025-11-07,bowling,6.26
Player 004,2025-11-07,bowling,6.34
Player 005,2025-11-07,bowling,6.33
Player 006,2025-11-07,bowling,5.83
Player 007,2025-11-07,bowling,5.17
Player 008,2025-11-07,bowling,4.92
Player 009,2025-11-07,bowling,6.64
Player 010,2025-11-07,bowling,5.99
Player 011,2025-11-07,bowling,7.42
Player 012,2025-11-07,bowling,8.45
Player 013,2025-11-07,bowling,5.87
Player 014,2025-11-07,bowling,4.24
Player 015,2025-11-07,bowling,4.85
Player 016,2025-11-07,bowling,4.37
Player 017,2025-11-07,bowling,5.68
Player 018,2025-11-07,bowling,7.17
Player 019,2025-11-07,bowling,8.11
Player 020,2025-11-07,bowling,8.96
Player 021,2025-11-07,bowling,5.17
Player 022,2025-11-07,bowling,10.15
Player 023,2025-11-07,bowling,4.94
Player 024,2025-11-07,bowling,5.36
Player 025,2025-11-07,bowling,4.54
Player 026,2025-11-07,bowling,4.44
Player 027,2025-11-07,bowling,6.83
Player 028,2025-11-07,bowling,8.93
Player 029,2025-11-07,bowling,7.75
Player 030,2025-11-07,bowling,7.2
Player 031,2025-11-07,bowling,5.14
Player 032,2025-11-07,bowling,5.17
Player 033,2025-11-07,bowling,3.44
Player 034,2025-11-07,bowling,9.28
Player 035,2025-11-07,bowling,4.63
Player 036,2025-11-07,bowling,7.15
Player 037,2025-11-07,bowling,4.31
Player 038,2025-11-07,bowling,5.75
Player 039,2025-11-07,bowling,8.9
Player 040,2025-11-07,bowling,7.96
Player 041,2025-11-07,bowling,8.36
Player 042,2025-11-07,bowling,7.56
Player 043,2025-11-07,bowling,4.3
Player 044,2025-11-07,bowling,6.28
Player 045,2025-11-07,bowling,5.28
Player 046,2025-11-07,bowling,4.04
Player 047,2025-11-07,bowling,5.71
Player 048,2025-11-07,bowling,6.49
Player 049,2025-11-07,bowling,7.65
Player 050,2025-11-07,bowling,9.58
Player 051,2025-11-07,bowling,5.12
Player 052,2025-11-07,bowling,9.11
Player 053,2025-11-07,bowling,6.47
Player 054,2025-11-07,bowling,5.36
Player 055,2025-11-07,bowling,6.1
Player 056,2025-11-07,bowling,4.86
Player 057,2025-11-07,bowling,9.05
Player 058,2025-11-07,bowling,8.15
Player 059,2025-11-07,bowling,5.84
Player 060,2025-11-07,bowling,6.64
Player 061,2025-11-07,bowling,3.31
Player 062,2025-11-07,bowling,8.82
Player 063,2025-11-07,bowling,5.33
Player 064,2025-11-07,bowling,5.24
Player 065,2025-11-07,bowling,8.53
Player 066,2025-11-07,bowling,3.46
Player 067,2025-11-07,bowling,6.39
Player 068,2025-11-07,bowling,4.12
Player 069,2025-11-07,bowling,9.48
Player 070,2025-11-07,bowling,5.96
Player 071,2025-11-07,bowling,4.36
Player 072,2025-11-07,bowling,5.53
Player 073,2025-11-07,bowling,7.04
Player 074,2025-11-07,bowling,4.9
Player 075,2025-11-07,bowling,6.24
Player 076,2025-11-07,bowling,5.41
Player 077,2025-11-07,bowling,6.72
Player 078,2025-11-07,bowling,8.88
Player 079,2025-11-07,bowling,7.96
Player 080,2025-11-07,bowling,7.81
Player 081,2025-11-07,bowling,6.47
Player 082,2025-11-07,bowling,5.27
Player 083,2025-11-07,bowling,8.66
Player 084,2025-11-07,bowling,4.21
Player 085,2025-11-07,bowling,8.4
Player 086,2025-11-07,bowling,5.1
Player 087,2025-11-07,bowling,3.57
Player 088,2025-11-07,bowling,5.47
Player 089,2025-11-07,bowling,6.8
Player 090,2025-11-07,bowling,4.59
Player 091,2025-11-07,bowling,8.56
Player 092,2025-11-07,bowling,8.31
Player 093,2025-11-07,bowling,7.18
Player 094,2025-11-07,bowling,3.92
Player 095,2025-11-07,bowling,5.62
Player 096,2025-11-07,bowling,8.8
Player 097,2025-11-07,bowling,8.0
Player 098,2025-11-07,bowling,3.13
Player 099,2025-11-07,bowling,8.68
Player 100,2025-11-07,bowling,5.42
